,infected,recovered,fatalities,infected_known,susceptible
579,362,1500,114,265,24
580,360,1501,115,265,24
581,357,1504,115,262,24
582,343,1518,115,255,24
583,337,1524,115,251,24
584,333,1528,115,248,24
585,325,1535,116,241,24
586,321,1538,117,239,24
587,318,1541,117,237,24
588,310,1549,117,230,24
589,300,1559,117,221,24
590,294,1565,117,218,24
591,288,1570,118,215,24
592,284,1574,118,212,24
593,280,1578,118,210,24
594,276,1582,118,206,24
595,273,1585,118,203,24
596,271,1587,118,201,24
597,264,1594,118,196,24
598,257,1601,118,191,24
599,247,1611,118,184,24
600,245,1613,118,182,24
601,239,1619,118,177,24
602,230,1627,119,171,24
603,220,1638,119,163,23
604,212,1646,119,157,23
605,210,1648,119,156,23
606,205,1653,119,152,23
607,200,1657,120,147,23
608,198,1659,120,146,23
609,193,1664,120,143,23
610,189,1668,120,141,23
611,185,1671,121,138,23
612,181,1674,122,136,23
613,176,1679,122,134,23
614,170,1684,123,129,23
615,166,1688,123,125,23
616,163,1691,123,123,23
617,158,1696,123,120,23
618,154,1700,123,117,23
619,151,1701,125,114,23
620,149,1702,126,112,23
621,144,1706,127,110,23
622,140,1710,127,109,23
623,136,1713,128,106,23
624,134,1715,128,104,23
625,128,1721,128,100,23
626,122,1726,129,94,23
627,120,1728,129,93,23
628,117,1731,129,91,23
629,115,1733,129,90,23
630,113,1735,129,89,23
631,109,1739,129,87,23
632,107,1741,129,86,23
633,103,1744,130,83,23
634,103,1744,130,83,23
635,101,1746,130,81,23
636,97,1749,131,77,23
637,97,1749,131,77,23
638,93,1752,132,73,23
639,91,1753,133,71,23
640,88,1756,133,69,23
641,83,1760,134,66,23
642,77,1766,134,61,23
643,75,1768,134,59,23
644,72,1771,134,56,23
645,69,1773,135,53,23
646,68,1774,135,52,23
647,67,1774,136,51,23
648,63,1778,136,48,23
649,60,1780,137,45,23
650,58,1782,137,45,23
651,58,1782,137,45,23
652,58,1782,137,45,23
653,57,1783,137,44,23
654,55,1785,137,43,23
655,55,1785,137,43,23
656,53,1787,137,42,23
657,51,1789,137,40,23
658,51,1789,137,40,23
659,51,1789,137,40,23
660,51,1789,137,40,23
661,48,1791,138,37,23
662,47,1792,138,36,23
663,45,1794,138,34,23
664,42,1797,138,32,23
665,41,1798,138,31,23
666,41,1798,138,31,23
667,40,1799,138,30,23
668,39,1800,138,29,23
669,39,1800,138,29,23
