,infected,recovered,fatalities,infected_known,susceptible,severity0,severity1,severity2
542,395,348,43,221,1214,279,342,152
543,391,351,44,218,1214,280,342,152
544,390,352,44,218,1214,278,344,152
545,390,353,44,217,1213,278,344,152
546,389,354,44,217,1213,280,344,152
547,388,355,44,216,1213,280,344,152
548,384,359,44,214,1213,280,344,152
549,384,360,45,212,1211,280,344,153
550,381,362,46,214,1211,279,346,153
551,380,363,46,214,1211,278,347,153
552,377,366,46,212,1211,278,347,153
553,377,367,46,211,1210,278,347,153
554,374,370,46,210,1210,279,346,154
555,374,371,46,209,1209,278,347,154
556,374,372,46,208,1208,280,346,155
557,373,373,46,207,1208,280,346,155
558,372,374,46,206,1208,275,352,155
559,372,375,46,205,1207,275,353,156
560,368,378,47,210,1207,274,352,158
561,366,380,47,209,1207,273,353,158
562,365,380,48,208,1207,274,352,159
563,363,382,48,206,1207,274,352,159
564,365,382,48,206,1205,274,351,160
565,364,383,48,205,1205,275,351,160
566,361,386,48,202,1205,275,351,160
567,358,389,48,200,1205,275,351,160
568,353,393,49,196,1205,275,351,160
569,353,393,49,196,1205,276,352,160
570,351,395,50,200,1204,276,352,160
571,348,398,50,199,1204,275,353,160
572,348,398,50,199,1204,275,353,160
573,346,400,50,197,1204,276,353,160
574,346,400,50,197,1204,274,355,160
575,345,403,50,195,1202,275,355,160
576,345,403,50,195,1202,276,355,160
577,346,404,50,194,1200,275,356,160
578,344,406,50,192,1200,274,357,160
579,343,407,50,191,1200,275,357,160
580,341,409,50,200,1200,274,358,160
581,341,409,50,200,1200,273,359,160
582,340,410,50,199,1200,272,360,160
583,337,413,50,196,1200,272,360,160
584,334,415,51,193,1200,273,361,160
585,334,415,51,193,1200,273,361,160
586,335,415,51,193,1199,272,362,160
587,334,417,51,191,1198,272,362,160
588,334,418,51,190,1197,271,362,161
589,332,420,51,190,1197,271,362,161
590,330,422,51,195,1197,271,363,161
591,328,424,51,193,1197,271,362,162
592,327,426,51,193,1196,271,362,162
593,327,426,51,193,1196,270,363,162
594,324,429,51,190,1196,270,363,162
595,324,429,51,190,1196,272,362,163
596,323,430,51,189,1196,270,364,163
597,323,431,51,188,1195,272,364,163
598,323,431,51,188,1195,272,364,163
599,325,431,51,188,1193,271,365,163
600,324,433,51,197,1192,270,366,163
601,321,436,51,196,1192,270,366,163
602,321,436,51,196,1192,270,366,163
603,320,437,51,196,1192,270,366,163
604,315,441,52,191,1192,269,366,164
605,314,442,52,190,1192,269,366,164
606,312,444,52,188,1192,269,365,166
607,312,444,52,188,1192,270,364,167
608,310,446,52,186,1192,270,364,168
609,309,447,52,185,1192,268,366,168
610,309,448,52,192,1191,268,366,168
611,306,451,52,189,1191,268,366,168
612,303,454,52,189,1191,269,366,168
613,300,457,52,188,1191,269,366,168
614,298,459,52,188,1191,269,366,168
615,294,463,52,185,1191,268,367,168
616,292,465,52,183,1191,268,367,168
617,292,465,52,183,1191,269,367,168
618,292,465,52,183,1191,269,367,168
619,290,467,52,182,1191,269,368,169
620,289,468,52,187,1191,270,367,170
621,288,469,52,186,1191,270,367,170
622,288,469,52,186,1191,270,367,170
623,286,471,52,185,1191,269,368,170
624,282,475,52,183,1191,269,368,170
625,282,476,52,182,1190,269,368,170
626,284,476,52,182,1188,268,369,170
627,285,476,52,182,1187,268,369,170
628,282,479,52,179,1187,268,367,172
